feature,mean,std
ag_green_pixel_ratio,0.3810641648563152,0.3280179688542545
ag_vegetation_area_percent,38.10641648563152,32.80179688542545
ag_brown_yellow_pixel_ratio,0.0540322057553552,0.0420473728111154
ag_soil_exposure_ratio,0.3779542129181606,0.2762548569576717
ag_shadow_cloud_ratio,0.0279499647125492,0.0764437025534275
ag_mean_brightness,0.7490989790997049,0.1125070423348175
ag_texture_entropy,6.429710756196077,0.8191942032662339
ag_field_uniformity_score,0.14273709585802,0.0840296762978626
ndvi_mean,0.3035346872049971,0.1590522701131315
ndvi_median,0.3211179659577679,0.1961796788283923
ndvi_max,0.4554502255628928,0.0676296581426407
ndvi_std,0.1284706493514484,0.0489612686491334
ndvi_cv,3.2677370533787284,26.958401429937272
ndvi_p25,0.2412532853493623,0.2103774758914117
ndvi_p75,0.3837377179153655,0.1515483092445764
ndvi_above_0_3_ratio,0.592625238182293,0.2895171896162003
ndvi_above_0_5_ratio,0.0,1.0
ndvi_above_0_7_ratio,0.0,1.0
ndvi_low_ratio,0.4073747618177071,0.2895171896162003
ndvi_valid_coverage_ratio,0.6491696912841092,0.2432851526981984
weather_temp_mean,,1.0
weather_temp_max,,1.0
weather_temp_min,,1.0
weather_gdd,,1.0
weather_heat_stress_days,,1.0
weather_cold_stress_days,,1.0
weather_total_precipitation,,1.0
weather_precipitation_days,,1.0
weather_heavy_rain_days,,1.0
weather_drought_index,,1.0
weather_humidity_mean,,1.0
weather_wind_mean,,1.0
weather_solar_radiation_mean,,1.0
weather_vpd_mean,,1.0
weather_temp_range_mean,,1.0
